month,"Cars total, SA","Cars total, SA (indexed: 100 = 2023 average)","All vehicles total, SA","All vehicles total, SA (indexed: 100 = 2023 average)","Cars domestic, SA","Cars exported, SA"
2020-08-01,75788.9193283449,99.92504296071863,82369.42956898002,95.8686716550347,14007.9951678984,62875.4081288575
2020-09-01,103238.341579376,136.116147438644,109055.155718732,126.9278295430262,17149.0092268507,81093.3154815172
2020-10-01,96428.7807846733,127.1379793768149,101781.0678720582,118.4616164951545,18419.1105109807,81918.693711195
2020-11-01,98517.1265785161,129.8913903637496,105002.655859333,122.2111794407277,15692.209579414,80963.3397233414
2020-12-01,84757.797329714,111.7501953383838,92133.48417454849,107.2329235370896,16498.9151095336,72811.5567457507
2021-01-01,86865.6667770206,114.5293475804837,92185.0893534223,107.2929861109722,17085.4812313546,63612.0895257036
2021-02-01,97529.3097564039,128.5889883864996,100802.3012234999,117.3224431519792,17882.0627426123,82444.076154043
2021-03-01,97922.4401981604,129.1073171426004,104893.4268557993,122.0840492720502,15525.679058225,86915.696529967
2021-04-01,88673.4620034959,116.9128624434825,94944.06265860227,110.5041180477037,12777.7370371138,69547.5388336778
2021-05-01,60190.0269467206,79.35844819743274,68721.74954987079,79.98432036777395,12731.1267223889,47236.4083387108
2021-06-01,60576.7726947521,79.86835895786325,66600.27847483088,77.51516870576891,8848.77097521901,52791.4857448332
2021-07-01,58408.0972013533,77.00903606783908,64609.4238362904,75.19803975812572,12019.4665777597,46515.3442514075
2021-08-01,57643.4846367597,76.00092110799498,62838.38478971097,73.13675122264326,15578.734334244,48742.115094115
2021-09-01,56595.9067486626,74.6197262525928,62334.03991921244,72.54975100856221,5157.05204397277,47611.0638770275
2021-10-01,56329.2856974713,74.26819570920162,62856.40381553473,73.15772332454176,10601.6593471548,43064.2684190101
2021-11-01,63323.6263136598,83.48998951162552,68975.00500052163,80.27908098187972,13307.9543126494,53375.8264632688
2021-12-01,74737.2830094709,98.53849720609095,82032.47783932237,95.4764980670521,14207.1832235521,62911.9889817323
2022-01-01,69912.6150505228,92.1773410193872,76622.07494710654,89.17940288125972,13199.8790090865,51673.3409919801
2022-02-01,55529.9167884875,73.21425572325707,62857.79733654489,73.1593452249102,11494.5784038707,46170.1155075765
2022-03-01,60827.530355505,80.19897417504173,69476.71671880598,80.86301650550023,15278.1453688281,49141.3156586057
2022-04-01,81471.2937165455,107.4170551162142,91676.15169814059,106.70064041643,17140.958088626,56708.3489363581
2022-05-01,64006.3765310236,84.39017182595497,73899.59672009083,86.01074707534357,16549.8116217482,50913.8686426128
2022-06-01,64451.734972715,84.97736137573771,73918.2981704113,86.0325134419389,15566.9811574267,49973.6929448823
2022-07-01,65426.8893442925,86.2630683542349,74188.15678957128,86.34659826065023,14425.6870028672,46611.9838550675
2022-08-01,65604.3368370027,86.49702667544437,74054.93879709333,86.19154763026174,12850.5395488468,58154.8446665616
2022-09-01,54263.3820593386,71.54437392070557,64080.75921012447,74.58273410739167,10115.6895621137,45536.7632595966
2022-10-01,63198.7174449379,83.32530153106286,70466.81100554878,82.01537393446337,13573.8267715318,46859.9168804169
2022-11-01,68252.5645011103,89.98862235263391,77170.92560608189,89.81820278418843,15501.9705183316,50447.3952813765
2022-12-01,66400.6248869991,87.54690465642302,72565.15537609473,84.45760873603615,15048.4267971643,53939.2044866885
2023-01-01,65082.5636659243,85.80908697399701,74264.75728361214,86.43575254580486,15403.210098801,50584.2985095683
2023-02-01,64630.6025247909,85.21319199562068,70262.10202610485,81.77711590550967,14105.5386097872,52041.959891279
