week,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,oem_chinese_oem_k,oem_us_oem_k,oem_german_oem_k,oem_korean_oem_k,oem_japanese_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_cells_wk,stock_harness_wk,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
30,10.199583479604838,198.02946086389701,31.208764927916846,1019.4384106768413,0.8350048346581873,105.00757784790092,22.7516418670452,35.53846153846154,14.001010379720125,20.730769230769234,10.756781555975364,12.75772831342047,2.5802815559753634,7.998924026034954,11.99788418288897,2.595528699094462,2.848309281155575,175.01262974650155,269.2097741897144,269.2011994448442,269.2307692307692,china_graphite
31,10.197074226018023,197.7754588833231,32.91676876506755,1307.6005750687455,0.8350814963876706,104.81942823266097,22.710876117076545,35.53846153846154,13.975923764354796,20.730769230769234,11.111805324095666,13.112780333811791,2.5798053240956658,7.9989200271950756,11.997849236322455,2.5918753255285347,3.1137450551059684,174.69904705443494,269.20940761570597,269.2010764876954,269.2307692307692,china_graphite
32,10.19519219426268,177.1930065886836,34.717751983061405,1642.9487185695223,0.8351390967531895,104.67188814634467,22.678909098374678,22.66481532070628,13.956251752845956,13.221142270412031,11.466948132807705,13.467951389580444,2.579448132807704,7.998916438283134,11.997815600401973,2.5890158992547816,3.455638675618917,174.45314691057445,269.20905478979404,269.20096613509486,269.2307692307692,china_graphite
33,10.193780601768907,174.26068552676415,36.616898452453256,2009.281444422692,0.8351823859541949,104.55641131605849,22.65388911847934,20.911282263211696,13.940854842141132,12.198247986873492,11.822180226307458,13.823211726225818,2.5791802263074572,7.998913217276712,11.997783225972679,2.5867817665127104,3.8084250192444933,174.26068552676415,269.2087151963661,269.20086709492875,269.2307692307692,china_graphite
34,10.192721855888124,174.11031120758628,38.61965647166478,2405.3463383902354,0.8352149317408267,104.46618672455176,22.634340456986216,20.893237344910354,13.928824896606903,12.18772178453104,12.17747928665609,14.178539026786684,2.5789792866560894,7.998910326461185,11.997752065723246,2.5850389827051714,4.161769959895247,174.11031120758628,269.20838833914723,269.20077820754,269.2307692307692,china_graphite
35,10.191927757842816,173.9930084513096,40.73175732255163,2832.7247828879567,0.8352394129098739,104.39580507078576,22.61909109867025,20.87916101415715,13.919440676104768,12.179510591591674,12.532828574585071,14.53391655272775,2.57882857458507,7.998907731988117,11.997722074116727,2.583681497679931,4.515550646297401,173.9930084513096,269.2080737404751,269.20069843215,269.2307692307692,china_graphite
36,10.191332155331382,173.90163926691844,42.959234007009925,3293.094632567855,0.8352578403370523,104.34098356015106,22.607213104699397,20.868196712030212,13.912131141353475,12.173114748684291,12.888215535032169,14.88933174953674,2.5787155350321678,7.998905403478934,11.997693207324001,2.582625579296836,4.869670742745583,173.90163926691844,269.20777094060156,269.2006268346721,269.2307692307692,china_graphite
37,10.190885431713664,173.83056783728705,45.30844034477154,3788.233417092152,0.8352717232667348,104.29834070237223,22.59797381884732,20.859668140474444,13.906445426982964,12.168139748610095,13.243630751242563,15.244775200871326,2.578630751242562,7.9989033136692225,11.997665423159733,2.5818052819954396,5.224054848962085,173.83056783728705,269.20747949702115,269.2005625767745,269.2307692307692,china_graphite
38,10.19055037269897,173.77535551892382,47.78607058876625,4320.02214674117,0.8352821943216204,104.26521331135429,22.590796217460095,20.85304266227086,13.902028441513906,12.164274886324668,13.599067160306511,15.600239844131139,2.578567160306511,7.998901438089489,11.997638681020712,2.581168786343203,5.578644052943681,173.77535551892382,269.20719898382424,269.2005049060641,269.2307692307692,china_graphite
39,10.190299066211308,173.7325144654079,50.399179695613725,4890.449670324306,0.8352901034261778,104.23950867924474,22.585226880503026,20.847901735848946,13.898601157232632,12.161276012578554,13.954519464783974,15.955720382108192,2.578519464783974,7.998899754778654,11.997612941826528,2.5806754572535047,5.933392399026005,173.7325144654079,269.2069289910745,269.20045314727724,269.2307692307692,china_graphite
