week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
140,uk,tier1_resilience,175,20,0.7078877336064411,9.619149918979009,0.5635928082666245,84.15100866971707,1.2029349060921046,1.2178642094120211,9.619149918979009,16.0,24.0,16.0,32.0,48.0,6.04432113073243,5.257060652641527,3.046421837507382,8.046421837507385,6.046421837507381,2.046421837507383,1.0000162794187062,1.0000240440900199,1.0000162725475048,1.0000315916207536,1.000048076306434,1.0067146716885524,0.8475328234627064,1.1964700435901567,1.2491967978843794,1.0946014725009128,1.2075453329914503,1.0001168415155632,1.3542036898751426,1.0032120155778959,1.279975335812324,714.6896318678856,0.051505101663961876,0.3711896236234139,371.93068260298645,97.43748639146598,2.5069959424793096,9.606207502791232,9.606207502791232,9.606207502791232,9.606207502791232,compound_shock_tier1_policy
141,uk,tier1_resilience,175,20,0.7124172505099335,9.689043524760724,0.5666683129094656,83.13262373367365,1.2040859981773235,1.2189956682589438,9.689043524760724,16.0,24.0,16.0,32.0,48.0,6.046388805089226,5.26620560061006,3.0463641720555783,8.046364172055581,6.0463641720555765,2.0463641720555787,1.0000155806513986,1.0000229570891466,1.0000155741237573,1.0000301272433436,1.0000457876947402,1.006699948984229,0.8465092507524176,1.1976875076015778,1.250742597071424,1.0951722188714037,1.2086903665181996,1.0001111572098973,1.356473989452403,1.0032348326358478,1.2817439386938592,714.7019474219321,0.051833770930871985,0.3709839920866549,371.9466752271292,96.95195165146612,2.4568361586389704,9.673519985135066,9.673519985135066,9.673519985135066,9.673519985135066,compound_shock_tier1_policy
142,uk,tier1_resilience,175,20,0.7169886131174267,9.75946607313498,0.5697755459228837,82.09113170529969,1.205235577267982,1.2201256376423588,9.75946607313498,16.0,24.0,16.0,32.0,48.0,6.047486628159003,5.275387936244708,3.0462967901378386,8.04629679013784,6.046296790137838,2.0462967901378395,1.0000149168224564,1.0000219244383168,1.000014910621197,1.0000287360848041,1.0000436135136308,1.0066852607369234,0.8454869450056026,1.1989034686994673,1.252286418614871,1.0957421763808743,1.2098338936306154,1.000105753714196,1.3587413228198235,1.0032576502127508,1.2835118067260833,714.7143342814925,0.0521654682070809,0.370778667894824,371.962832838799,96.45510742969005,4.520420312150026,9.741326860879477,9.741326860879477,9.741326860879477,9.741326860879477,compound_shock_tier1_policy
143,uk,tier1_resilience,175,20,0.7216021979137132,9.830421706061797,0.5729148200984585,81.02648762882072,1.2063836450193486,1.2212541175726117,9.830421706061797,16.0,24.0,16.0,32.0,48.0,6.050197471299993,5.284608480532243,3.046219562044627,8.046219562044628,6.046219562044627,2.046219562044628,1.0000142861849612,1.0000209434200287,1.0000142802937648,1.0000274144841916,1.000041548041577,1.0066703838091093,0.8444659030818387,1.2001179252034953,1.2538282639408247,1.096311345876941,1.210975916024815,1.0001006172603863,1.3610056951375327,1.003280468308617,1.2852789409296292,714.7267928772212,0.05250022059542267,0.3705736506420293,371.979157064512,95.9469336543396,4.2536210206645935,9.809631903369247,9.809631903369247,9.809631903369247,9.809631903369247,compound_shock_tier1_policy
144,uk,tier1_resilience,175,20,0.7262583840640356,9.901914599905211,0.5760864504449824,79.9386471842764,1.2075302030491737,1.2223811074614042,9.901914599905211,16.0,24.0,16.0,32.0,48.0,6.053855090894009,5.293868064321756,3.0461323566798395,8.046132356679841,6.0461323566798395,2.04613235667984,1.0000136870793408,1.000020011452655,1.0000136814827043,1.0000261589636097,1.000039585843126,1.0066550199986812,0.8434461219268238,1.201330875597947,1.255368134506429,1.0968797174919958,1.212116435168474,1.0000957347470054,1.3632671114775556,1.003303286923458,1.2870453431664624,714.7393236424608,0.05283805538901834,0.37036893992023073,371.9956495423139,95.42741058857916,4.005924891482825,9.87843891570438,9.87843891570438,9.87843891570438,9.87843891570438,compound_shock_tier1_policy
145,uk,tier1_resilience,175,20,0.7309575534366916,9.973948965966601,0.5792907542101139,78.82756668669415,1.2086752529516596,1.223506609099767,9.973948965966601,16.0,24.0,16.0,32.0,48.0,6.056799251569727,5.303167528384219,3.046035041542484,8.046035041542488,6.046035041542484,2.0460350415424844,1.0000131179290015,1.00001912608365,1.0000131126121967,1.000024966219057,1.0000377217545973,1.0066391933600853,0.8424275985680659,1.2025423185205335,1.2569060317945493,1.0974472835272897,1.2132554525616033,1.0000910937076128,1.3655255768229146,1.0033261060572856,1.2888110150212042,714.7519270132594,0.05317900007285022,0.3701645353193813,372.0123119218926,94.89651883028904,3.78602838438635,9.947751730990657,9.947751730990657,9.947751730990657,9.947751730990657,compound_shock_tier1_policy
146,uk,tier1_resilience,175,20,0.7357000906269118,10.046529049187633,0.5825280508885908,77.6932030868929,1.209818796309852,1.2246306243717808,10.046529049187633,16.0,24.0,16.0,32.0,48.0,6.059665090324383,5.31250772347262,3.045927482714129,8.045927482714132,6.045927482714128,2.04592748271413,1.0000125772361792,1.0000182849830952,1.0000125721852147,1.000023833111732,1.000035950870495,1.0066229456176843,0.8414103301107926,1.2037522527517417,1.2584419573086978,1.098014038825781,1.214392969742621,1.0000866822806433,1.367781096066737,1.0033489257101118,1.290575957769761,714.7646034283874,0.053523082325427906,0.36996043642756116,372.02914586462066,94.35423931253054,3.587629249514894,10.017574212594463,10.017574212594463,10.017574212594463,10.017574212594463,compound_shock_tier1_policy
147,uk,tier1_resilience,175,20,0.7404863829697328,10.119659128369484,0.5857986622297264,76.53551397219404,1.2109608347590775,1.2257531578762095,10.119659128369484,16.0,24.0,16.0,32.0,48.0,6.060720634001843,5.321889510382,3.0458095448464317,8.045809544846435,6.04580954484643,2.045809544846432,1.0000120635779979,1.0000174859375681,1.0000120587795815,1.000022756659773,1.000034268530598,1.0066066859595793,0.8403943137340689,1.2049606772046966,1.2599759125681866,1.0985799936927958,1.21552898855598,1.0000824891806397,1.370033674011367,1.0033717458819482,1.2923401712461182,714.777353329356,0.05387033001965242,0.36975664283110465,372.0461530435946,93.80055330395908,3.4096681484727656,10.087910254385271,10.087910254385271,10.087910254385271,10.087910254385271,compound_shock_tier1_policy
148,uk,tier1_resilience,175,20,0.7453168205523166,10.193343514762846,0.5891029122331654,75.35445756865775,1.2121013699476537,1.2268742100157712,10.193343514762846,16.0,24.0,16.0,32.0,48.0,6.063407370328055,5.331313760009376,3.0456810911548144,8.045681091154819,6.045681091154814,2.0456810911548153,1.0000115756027257,1.0000167268443174,1.00001157104423,1.000021734030412,1.0000326703076958,1.006590269846098,0.8393795466871142,1.2061675909155065,1.2615078991034951,1.0991451521032878,1.216663510701959,1.0000785036708042,1.3722833153674807,1.0033945665728068,1.294103655753374,714.790177160434,0.05422077122363925,0.3695531541147214,372.06333514361245,93.2354424099097,3.249771426603248,10.158763780979607,10.158763780979607,10.158763780979607,10.158763780979607,compound_shock_tier1_policy
149,uk,tier1_resilience,175,20,0.7501917962166643,10.267586555105494,0.592441127166879,74.14999274021633,1.213240403526067,1.2279937820795759,10.267586555105494,16.0,24.0,16.0,32.0,48.0,6.065890025588442,5.3407813534129644,3.045541983401717,8.045541983401721,6.045541983401716,2.045541983401718,1.0000111120262172,1.0000160057057292,1.0000111076956464,1.0000207625325193,1.0000311519959388,1.0065736768933284,0.838366026285807,1.20737299303407,1.2630379184518423,1.09970951692801,1.2177965378397206,1.000074715536815,1.3745300247532037,1.003417387782699,1.2958664116072685,714.8030753686664,0.054574434200841654,0.3693499698616109,372.0806938612678,92.65888857210217,5.142751075767978,10.230138747971614,10.230138747971614,10.230138747971614,10.230138747971614,compound_shock_tier1_policy
