week,focus_region,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
10,uk,175,20,0.42388348982931207,3.946749024728609,0.3851849619425674,23.128117312966637,1.0265636473090698,1.0600447629357732,3.946749024728609,14.765115134957327,16.57528349847417,14.826759293735654,18.899054368384,23.02054163825635,5.956521738471771,4.13970926762319,2.999090542541584,7.999090542541584,5.999090542541584,1.9990905425415837,1.0110266901861384,1.0171102135492303,1.0110212576969186,1.0228168562833302,1.0340633117951235,1.0103017796670497,0.9998119205801675,1.0326407010236327,1.0326141522986367,1.0124783047652286,1.0375862779000289,1.0193864316311845,1.0305596800395636,1.000250212495304,1.0299770121265106,1205.7241251825842,0.018281081891586427,0.4003748597263091,371.00296180210137,23.13688004107714,32.70237883758908,3.92377724056908,3.92377724056908,3.92377724056908,3.92377724056908,china_ree_restriction
11,uk,175,20,0.42370345813682414,3.969867795520024,0.3850742765322108,25.084172008870727,1.0292415985610317,1.061257534588532,3.969867795520024,15.805694331825563,17.638025761405483,15.841044520537318,19.93920208893104,24.043089679162843,5.956244267919157,4.151855332796199,2.9990046630066978,7.999004663006698,5.999004663006698,1.9990046630066975,1.0104757419264907,1.016270279572775,1.0104705631351762,1.0217558610152573,1.0328313394387423,1.0101479334704948,0.9986353667658558,1.0347439959173934,1.0348606107904936,1.0133385541570192,1.039953403568879,1.0204620242557891,1.0333098304260009,1.0002729621899953,1.0326757847866537,1187.6926088715047,0.01855074255623202,0.40014188199631756,371.00238623796747,25.091231884514208,34.29440432730363,3.946749024728609,3.946749024728609,3.946749024728609,3.946749024728609,china_ree_restriction
12,uk,175,20,0.42358170418543195,3.9931344652965692,0.3849874247359128,27.015257182531247,1.0318342951947237,1.0624701851750016,3.9931344652965692,16.0,18.64610714968541,16.0,20.891271987816708,25.028478856945537,5.9563209447029415,4.163907860600652,2.998918234069935,7.998918234069935,5.998918234069935,1.9989182340699347,1.0099521657743682,1.015464745993754,1.0099472409692878,1.0207168070415342,1.0315277451587517,1.0100014199890128,0.9973770421663394,1.0366974583778428,1.0370196015978688,1.0141723252435815,1.0422050817294914,1.021347281928026,1.0360554272484312,1.0002957124021055,1.035347555305196,1170.8115674952558,0.018812804066126305,0.39990875542749027,371.00193460862675,27.02098087669322,35.75581947205059,3.969867795520024,3.969867795520024,3.969867795520024,3.969867795520024,china_ree_restriction
13,uk,175,20,0.42348616720950405,4.016549921084482,0.3849254915786478,28.921590718922346,1.0343380410743084,1.0636845103610537,4.016549921084482,16.0,19.616806642121063,16.0,21.875203017291,26.058361200436526,5.956357276130672,4.1758679601640045,2.99883125243625,7.99883125243625,5.99883125243625,1.9988312524362501,1.0094547133751832,1.014695641800978,1.0094500329692049,1.0197107446972349,1.0301926404944757,1.0098620438642145,0.9960558969905486,1.0385170686703504,1.0391025377902157,1.0149829319066472,1.0443530245926476,1.022054910613342,1.0387965134914625,1.0003184631316466,1.0379875138347658,1155.0232895351876,0.019065659449824746,0.399675417614672,371.00161255620895,28.92636159528024,37.09952693354443,3.9931344652965692,3.9931344652965692,3.9931344652965692,3.9931344652965692,china_ree_restriction
14,uk,175,20,0.4234180407365127,4.040115031801837,0.38488901357325433,30.803406326792015,1.0367520099200873,1.0649016316981987,4.040115031801837,16.0,20.612823743853397,16.0,22.865211591039845,27.113535778448476,5.956091151110771,4.187736812812255,2.9987437148778646,7.998743714877865,5.998743714877865,1.9987437148778644,1.0089821117177715,1.0139629938133967,1.0089776645383626,1.01874338104628,1.0288540986828478,1.0097296057942886,0.9946874799192265,1.040218441470181,1.0411196816389223,1.015773284297953,1.0464078853032026,1.0225988456589026,1.0415331316627374,1.0003412143786305,1.0405923420737404,1140.2730203234948,0.019309180981982928,0.3994418315879877,371.00142287058094,30.807616003066933,38.337129327164156,4.016549921084482,4.016549921084482,4.016549921084482,4.016549921084482,china_ree_restriction
15,uk,175,20,0.42337791493057986,4.063830654624798,0.38487812118565656,32.660945111755744,1.0390774727124719,1.0661222710912732,4.063830654624798,16.0,21.613810279665262,16.0,23.83865927750141,28.148955514355052,5.956072257771942,4.199515633973787,2.9986556182106177,7.998655618210617,5.998655618210617,1.9986556182106174,1.0085331303840204,1.0132659425653028,1.0085289051950719,1.017817343057767,1.0275326764758166,1.009603778752341,0.9932844648850705,1.0418164547428992,1.0430801661834597,1.016545932651496,1.0483793238820096,1.0229935521242557,1.044265323731786,1.0003639661430688,1.0431599506271363,1126.508811939914,0.019543257312366617,0.39920797911863776,371.0013662301654,32.66498721283685,39.47906438408307,4.040115031801837,4.040115031801837,4.040115031801837,4.040115031801837,china_ree_restriction
16,uk,175,20,0.42336593330422223,4.087697640345284,0.3848926506837496,34.49444933580518,1.041317192345106,1.0673467938183303,4.087697640345284,16.0,22.7008753421138,16.0,24.871041931257977,29.227317979468904,5.955532622399621,4.211205644971748,2.998566959274063,7.998566959274063,5.998566959274062,1.998566959274063,1.008106593507191,1.0126031939539069,1.0081025794001388,1.016933205754888,1.0262413839425744,1.0094843661532384,0.9918570881806221,1.0433249215133864,1.0449920531004857,1.0173031151421321,1.0502760708756416,1.023253378669721,1.046993131099916,1.0003867184249733,1.0456892670094955,1113.6813805693848,0.019767797968000572,0.39897385558885784,371.0014417835555,34.49871496762617,40.53472525247666,4.063830654624798,4.063830654624798,4.063830654624798,4.063830654624798,china_ree_restriction
17,uk,175,20,0.4233819157521246,4.111716837915383,0.3849322315796469,36.3041578930244,1.0434749547062423,1.0685754036271047,4.111716837915383,16.0,23.73359743378284,16.0,25.82138082115292,30.249217919523083,5.955618056313619,4.22280805257857,2.99847773491459,7.998477734914589,5.99847773491459,1.9984777349145897,1.0077013812338553,1.0119733089788538,1.0076975677450104,1.016090671784944,1.0249897030181243,1.0093709653902672,0.9904135752986255,1.044756522860304,1.046862428233968,1.018046787894872,1.052106004150788,1.0233922846175934,1.049716594589606,1.0004094712243559,1.048180013977204,1101.7439709707678,0.01998273664226352,0.39873946611771044,371.00164760421416,36.30903246170536,41.51256769433159,4.087697640345284,4.087697640345284,4.087697640345284,4.087697640345284,china_ree_restriction
18,uk,175,20,0.42342545473761156,4.135889098095146,0.3849963541965875,38.09030312692383,1.0455552068578842,1.0698081172874294,4.135889098095146,16.0,24.0,16.0,26.903410324683257,31.312715899502525,5.955620782367892,4.234324034637519,2.9983879419718718,7.998387941971871,5.998387941971872,1.9983879419718715,1.007316428469794,1.0113748214317768,1.0073128056122205,1.015288603472093,1.02378277112518,1.0092632546207745,0.9889604718215441,1.04612270389661,1.0486974868852876,1.0187786617217247,1.053876215464452,1.0234235235382003,1.0524357544464287,1.000432224541228,1.0506325478130405,1090.652227725151,0.020188033441494477,0.3985048226618697,371.00198104182226,38.096164197403866,42.42020573541643,4.111716837915383,4.111716837915383,4.111716837915383,4.111716837915383,china_ree_restriction
19,uk,175,20,0.4234959896162461,4.160215276452559,0.3850844216443912,39.853108684264924,1.047562781753326,1.0710448741708574,4.160215276452559,16.0,24.0,16.0,27.921633478427847,32.337257268733794,5.955506353956744,4.245754730371742,2.998297577267721,7.99829757726772,5.998297577267721,1.998297577267721,1.0069507227956414,1.0108062235207411,1.0069472810594609,1.0145256505918248,1.0226237490967003,1.009160966633126,0.9875029500978858,1.0474337129484304,1.050502632606894,1.0195002335124281,1.0555930813350927,1.0233595415828802,1.0551506503490793,1.0004549783756018,1.0530477010818677,1080.364072941665,0.020383676217668786,0.3982699418451566,371.0024389925508,39.86032463855732,43.26449709364793,4.135889098095146,4.135889098095146,4.135889098095146,4.135889098095146,china_ree_restriction
20,uk,175,20,0.4235928638088304,4.184696235708236,0.3851957892179313,41.592788166162705,1.049502690666818,1.072285531192021,4.184696235708236,16.0,24.0,16.0,28.989693665545648,33.432588475563335,5.9556493619609325,4.257101234298438,2.9982066375973804,7.99820663759738,5.99820663759738,1.9982066375973804,1.0066033021320193,1.0102660407682835,1.0066000324719298,1.0138002436614928,1.0215136717527202,1.009063777591486,0.9860450532674742,1.0486986277891526,1.0522825638932523,1.0202128098553491,1.0572623263207854,1.0232118719964673,1.0578613214245896,1.000477732727489,1.0554266638529175,1070.8395901140584,0.02056968113750168,0.3980348433520637,371.00301810393324,41.601717467740336,44.05161956778707,4.160215276452559,4.160215276452559,4.160215276452559,4.160215276452559,china_ree_restriction
21,uk,175,20,0.42371536813972444,4.209332847583306,0.38532979396532757,43.30954438347065,1.0513799695644264,1.0735299146615371,4.209332847583306,16.0,24.0,16.0,30.060989933541475,34.57175280179306,5.955119008949254,4.268364592875519,2.9981151197226588,7.998115119722658,5.998115119722659,1.9981151197226588,1.0062732523652318,1.0097528603640027,1.0062701461827939,1.0131107471947418,1.0204526066002715,1.008971566663329,0.9845899101479506,1.0499254426892275,1.0540413562664124,1.020917537172114,1.0588890851548607,1.0229911307647717,1.0605678062667188,1.000500487596901,1.0577708770077763,1062.040913832097,0.020746092599921252,0.39779954874962964,371.00371492861973,43.32053529654669,44.78713940226385,4.184696235708236,4.184696235708236,4.184696235708236,4.184696235708236,china_ree_restriction
22,uk,175,20,0.4238627733618604,4.234125994187679,0.3854857764387847,45.00356906567263,1.053199567702999,1.0747778361791525,4.234125994187679,16.0,24.0,16.0,31.113964262938712,35.658958246911524,5.955642404594216,4.279545803198651,2.998023020366773,7.998023020366772,5.998023020366773,1.998023020366773,1.0059597050186706,1.0092653357210257,1.0059567541426797,1.0124555140206777,1.0194401253271832,1.0088839008763388,0.9831399148740527,1.0511211710490822,1.0557825365679125,1.0216154096921508,1.0604779602572898,1.0227070503297646,1.0632701429561238,1.00052324298385,1.0600819459146187,1053.9321250650557,0.020912982620637198,0.397564080630035,371.0045260374817,45.01695970910954,45.47607253085845,4.209332847583306,4.209332847583306,4.209332847583306,4.209332847583306,china_ree_restriction
23,uk,175,20,0.42403435408266316,4.259076569028968,0.38566309633585366,46.67504290339419,1.0549662688268233,1.0760290909055907,4.259076569028968,16.0,24.0,16.0,32.0,36.7937999994652,5.95542351047518,4.290645813206485,2.9979303362106022,7.997930336210602,5.997930336210602,1.997930336210602,1.005661835005396,1.0088021857136331,1.0056590316718677,1.0118329255182952,1.0184751183848866,1.0088006378436325,0.9816968678946418,1.0522919254829946,1.0575091498589753,1.0223072981692911,1.06203307332212,1.0223684957741743,1.0659683690813084,1.0005459988883476,1.0623615759618794,1046.4791517464193,0.02107044977962594,0.3973284619920264,371.00544810094647,46.69116154524755,46.122939485095934,4.234125994187679,4.234125994187679,4.234125994187679,4.234125994187679,china_ree_restriction
24,uk,175,20,0.4242294059694391,4.284185477733903,0.38586114343284056,48.32413583082727,1.0566846377140315,1.0772834727295622,4.284185477733903,16.0,24.0,16.0,32.0,37.879294440028964,5.954815620426056,4.301665522970397,2.997837063890004,7.997837063890003,5.997837063890004,1.997837063890004,1.0053788584757684,1.0083621924164212,1.005376195308248,1.0112414260959426,1.0175562131972389,1.0087216926005567,0.9802620953872951,1.053443011379445,1.0592238195978003,1.0229939667591612,1.0635581132628642,1.0219835131680195,1.0686625217596462,1.0005687553104057,1.0646115194461916,1039.6496743996684,0.021218617822536267,0.39709271579958744,371.00647794585075,48.34330135109581,46.731814659280495,4.259076569028968,4.259076569028968,4.259076569028968,4.259076569028968,china_ree_restriction
25,uk,175,20,0.4244472577761247,4.30945363852641,0.3860793448657057,49.95100747588302,1.0583589859920939,1.0785407716776543,4.30945363852641,16.0,24.0,16.0,32.0,38.96348403957168,5.954367896180889,4.312605786742259,2.997743199994044,7.9977431999940425,5.997743199994043,1.9977431999940438,1.0051100307641145,1.007944198390983,1.0051075007546362,1.0106794848606038,1.0166817731687274,1.0086468787485157,0.9788365442952736,1.054579009180499,1.0609287991479737,1.0236760821529347,1.0650563791043433,1.0215593739680762,1.0713526376579776,1.0005915122500357,1.0668335369775657,1033.4130365567441,0.02135763399879131,0.3968568646717659,371.00761259330164,49.97352994127257,47.306370543307146,4.284185477733903,4.284185477733903,4.284185477733903,4.284185477733903,china_ree_restriction
26,uk,175,20,0.42468727935227624,4.334881982524678,0.3863171696418882,51.5558077220615,1.0599933526109135,1.0798007789228317,4.334881982524678,16.0,24.0,16.0,32.0,40.07232194709004,5.954601194471373,4.323467415507014,2.997648741063887,7.997648741063887,5.997648741063887,1.997648741063887,1.0048546444337898,1.0075471038707726,1.0048522409246183,1.0101456330286582,1.0158500201524896,1.008575842027205,0.9774208603697637,1.0557038535486083,1.0626260185208962,1.0243542192239656,1.0665308190861922,1.0211026256628293,1.0740387530124402,1.0006142697072498,1.069029367876389,1027.740159731552,0.02148766720577182,0.396620930669256,371.0088492821378,51.58198903016155,47.849917460454094,4.30945363852641,4.30945363852641,4.30945363852641,4.30945363852641,china_ree_restriction
27,uk,175,20,0.4249488866060771,4.360471453894879,0.3865741310528643,53.13867733958029,1.0615914954004624,1.0810632938108502,4.360471453894879,16.0,24.0,16.0,32.0,41.17366806067341,5.954152676992122,4.334251179848056,2.9975536835922294,7.99755368359223,5.997553683592229,1.9975536835922292,1.0046120274178547,1.0071698639786757,1.0046097440840582,1.009638470129914,1.0150591373667384,1.0085084823842467,0.9760154520650021,1.0568209087148617,1.0643171257442403,1.0250288811915529,1.067984066558658,1.020619146599142,1.0767209036473,1.0006370276820595,1.0712007068522702,1022.6034627216982,0.02160890600223775,0.39638493515210177,371.0101854814749,53.168811900156896,48.365439287310956,4.334881982524678,4.334881982524678,4.334881982524678,4.334881982524678,china_ree_restriction
28,uk,175,20,0.42523154415815084,4.3862230098873365,0.3868497875059953,54.69974865358317,1.063156890720324,1.0823281209697853,4.3862230098873365,16.0,24.0,16.0,32.0,42.29691088489231,5.954528127022684,4.344957812979905,2.997458024023164,7.997458024023162,5.997458024023164,1.9974580240231636,1.004381541251653,1.0068114860322663,1.0043793720845047,1.009156663588116,1.0143072974968448,1.008444463756131,0.9746205419056089,1.057933036336978,1.0660035232507117,1.025700499717305,1.0694184719997706,1.0201141986709583,1.0793991249926445,1.0006597861744768,1.0733491885212463,1017.9767850221474,0.02172155654388795,0.3961488986894513,371.0116188950312,54.73412408266949,48.85562558082045,4.360471453894879,4.360471453894879,4.360471453894879,4.360471453894879,china_ree_restriction
29,uk,175,20,0.4255347662565948,4.412137620790285,0.38714374220901204,56.23914622519281,1.0646927390412524,1.0835950752517274,4.412137620790285,16.0,24.0,16.0,32.0,43.45247534007684,5.954092441682353,4.355588013838615,2.9973617587523504,7.99736175875235,5.9973617587523504,1.9973617587523502,1.0041625793932298,1.0064710269587265,1.004160518684418,1.0086989464895333,1.0135926980748498,1.0083837365549986,0.9732362079356607,1.0590426571674505,1.0676863998160175,1.0263694537995394,1.0708361323249662,1.0195924786232697,1.0820734521008601,1.0006825451845132,1.0754763756305037,1013.8353141445614,0.021825840485753444,0.39591284100719437,371.01314745948685,56.27804403432554,49.32290048540719,4.3862230098873365,4.3862230098873365,4.3862230098873365,4.3862230098873365,china_ree_restriction
30,uk,175,20,0.4258581164299133,4.438216269816868,0.38745564201974464,57.75698752782228,1.0662019746447313,1.0848639796617796,4.438216269816868,16.0,24.0,16.0,32.0,44.611129438218036,5.953701555579748,4.366142450150412,2.9972648841274374,7.997264884127436,5.997264884127437,1.9972648841274374,1.003954565627462,1.0061475908266402,1.0039526079540801,1.0082641148064504,1.0129135855504319,1.008326184293833,0.9718624170593727,1.060151806650288,1.0693667585593998,1.027036073678889,1.0722389170586475,1.0190581671774428,1.0847439196618625,1.0007053047121806,1.0775837521500748,1010.1555166458237,0.02192199289064492,0.3956767809629714,371.0147693385027,57.80068379558166,49.7694487562574,4.412137620790285,4.412137620790285,4.412137620790285,4.412137620790285,china_ree_restriction
31,uk,175,20,0.42620120622171914,4.4644599529478635,0.38778517572301385,59.25338360594741,1.0676872780669138,1.0861346640286127,4.4644599529478635,16.0,24.0,16.0,32.0,45.821559347989194,5.954145530122141,4.376621761420713,2.9971673964486447,7.997167396448644,5.997167396448645,1.9971673964486445,1.0037569525498495,1.0058403264950468,1.0037550927601315,1.0078510244884311,1.0122682589737284,1.0082714729386064,0.9704990515858883,1.0612621840494219,1.0710454414741302,1.027700638851903,1.073628491755644,1.0185149745211457,1.0874105620170844,1.0007280647574908,1.0796727199482246,1006.9150726786665,0.022010260174744677,0.3954407365407686,371.01648291375966,59.302149622987855,50.197239194192434,4.438216269816868,4.438216269816868,4.438216269816868,4.438216269816868,china_ree_restriction
32,uk,175,20,0.42656369329531524,4.490869678747056,0.38813207193263416,60.728439707554415,1.0691510903489447,1.0874069689698946,4.490869678747056,16.0,24.0,16.0,32.0,46.99913435242483,5.953844055431473,4.387026561803843,2.99706929196945,7.99706929196945,5.99706929196945,1.9970692919694502,1.0035692201260513,1.0055484253769778,1.0035674533258165,1.0074585885769232,1.0116550841919034,1.0082195507812173,0.9691459305067831,1.0623751964652783,1.0727231509051827,1.0283633943184063,1.075006339477069,1.0179661832948064,1.0900734131722534,1.0007508253204556,1.0817445965184986,1004.092813886324,0.022090898116782654,0.39520472485934577,371.01828677404967,60.78254258935825,50.60804575627182,4.4644599529478635,4.4644599529478635,4.4644599529478635,4.4644599529478635,china_ree_restriction
33,uk,175,20,0.4269452791258975,4.517446468153778,0.3884960967534142,62.182255884518085,1.070595628226428,1.0886807420699829,4.517446468153778,16.0,24.0,16.0,32.0,48.0,5.954177506790364,4.397357442827465,2.99697056689736,7.99697056689736,5.996970566897359,1.9969705668973594,1.0033908743234097,1.0052711193132842,1.0033891958631853,1.0070857744063346,1.0110724956256074,1.0081701719274454,0.9678028263757318,1.063491997667307,1.0744004683436388,1.0290245477246907,1.0763737797363604,1.0174146882812705,1.0927325068090021,1.0007735864010867,1.0838006157706803,1001.6686644718234,0.02216416995160098,0.39496876219025184,371.0201797031178,62.24195914818007,51.003466580851736,4.490869678747056,4.490869678747056,4.490869678747056,4.490869678747056,china_ree_restriction
